,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
30,0.1312528133392334,0.002944922259490898,0.10476493835449219,0.0033350226160375005,gini,4,11,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 11}",0.6428571428571429,0.9629629629629629,0.8518518518518519,0.8846153846153846,0.8461538461538461,0.835820895522388,0.10757352099181337,161,0.9811320754716981,0.9813084112149533,1.0,1.0,1.0,0.9924880973373302,0.009200333246658603
31,0.12598419189453125,0.0016817499083716402,0.10890865325927734,0.0038323929046063295,gini,4,21,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 21}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8846153846153846,0.8461538461538461,0.8507462686567164,0.09618434368131458,50,1.0,0.9906542056074766,1.0,0.9907407407407407,0.9907407407407407,0.9944271374177915,0.004550332956757942
32,0.12416253089904786,0.005575326048717279,0.1080399990081787,0.0006725672514989262,gini,4,31,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 31}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8582089552238806,0.08302100376558415,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,0.12646012306213378,0.00666704352128539,0.1180992603302002,0.009317711406356906,gini,4,41,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 41}",0.6785714285714286,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8846153846153846,0.8582089552238806,0.10020691052355384,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34,0.15233473777770995,0.01894184519821162,0.114750337600708,0.01038518903535194,gini,4,51,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 51}",0.6071428571428571,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.9230769230769231,0.8507462686567164,0.13074898758144762,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,0.16899070739746094,0.0025358819855342547,0.10802478790283203,0.0008355094967018061,gini,4,61,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 61}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8582089552238806,0.08302100376558415,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,0.16341104507446289,0.010691839174142818,0.1083892822265625,0.0004810002413527157,gini,4,71,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 71}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8582089552238806,0.08302100376558415,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,0.1601276397705078,0.019637805353206878,0.10764093399047851,0.0005771929620973826,gini,4,81,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 81}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8507462686567164,0.09618434368131458,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0.16126914024353028,0.01848265600498657,0.10695180892944336,0.0014435670787692019,gini,4,91,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 91}",0.7142857142857143,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.9230769230769231,0.8656716417910447,0.08670609894170243,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0.17547316551208497,0.01843106049959378,0.1076507568359375,0.001503000336521887,gini,4,101,"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 101}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.9230769230769231,0.8582089552238806,0.09994134218854507,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
40,0.14247684478759765,0.0035373408450315065,0.10368647575378417,0.0007658572668773064,gini,5,11,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 11}",0.6428571428571429,0.9259259259259259,0.8518518518518519,0.8461538461538461,0.8076923076923077,0.8134328358208955,0.09560932964431686,234,0.9905660377358491,1.0,1.0,0.9907407407407407,1.0,0.9962613556953179,0.0045792187073112256
41,0.13555531501770018,0.005200088646113353,0.10791249275207519,0.002304446003572618,gini,5,21,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 21}",0.6071428571428571,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.835820895522388,0.12342733389513946,161,1.0,0.9906542056074766,1.0,0.9907407407407407,0.9907407407407407,0.9944271374177915,0.004550332956757942
42,0.1284339427947998,0.009138747886078392,0.10804061889648438,0.0017118517694912551,gini,5,31,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 31}",0.6071428571428571,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8846153846153846,0.8432835820895522,0.12746399673214182,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
43,0.14558305740356445,0.017272557673533175,0.10714168548583984,0.001326640925065209,gini,5,41,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 41}",0.6428571428571429,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.11251328980420071,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,0.15216617584228515,0.0016835874467127426,0.10576591491699219,0.0004072552972946079,gini,5,51,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 51}",0.6071428571428571,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.835820895522388,0.12342733389513946,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,0.1699948787689209,0.009765542346401538,0.10729036331176758,0.002104904501869525,gini,5,61,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 61}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.835820895522388,0.10791884298904823,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,0.16393070220947265,0.008979482605740332,0.10879168510437012,0.0022052222051622133,gini,5,71,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 71}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.835820895522388,0.10791884298904823,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,0.1465660572052002,0.011508838567281602,0.11044960021972657,0.0007052965671939912,gini,5,81,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 81}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8432835820895522,0.1096906310104815,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
